 NUM  NOME CLASSE  TIPO COMB.  CUSTO   CUSTO   CUSTO   CUSTO   CUSTO   
 XXXX XXXXXXXXXXXX XXXXXXXXXX XXXX.XX XXXX.XX XXXX.XX XXXX.XX XXXX.XX
  212 MARANHAO III Gas          76.94   76.94   76.94   76.94   76.94                                                                                                                                                     
   36 MARANHAO IV  Gas         131.58  131.58  131.58  131.58  131.58                                                                                                                                                     
   21 MARANHAO V   Gas         131.58  131.58  131.58  131.58  131.58                                                                                                                                                     
  140 MAUA 3       Gas          66.00   66.00   66.00   66.00   66.00                                                                                                                                                     
  206 MAUA B3      Gas         411.92  411.92  411.92  411.92  411.92                                                                                                                                                     
  141 MAUA B4      Oleo        575.00  575.00  575.00  575.00  575.00                                                                                                                                                     
   46 N.VENECIA 2  Gas         208.48  208.48  208.48  208.48  208.48                                                                                                                                                     
  228 O. CANOAS 1  Gas         269.53  269.53  269.53  269.53  269.53                                                                                                                                                     
  116 PARNAIBA IV  Gas          91.37   91.37   91.37   91.37   91.37                                                                                                                                                     
  207 PONTA NEGRA  Gas           0.00    0.00    0.00    0.00    0.00                                                                                                                                                     
  176 PORTO ITAQUI Carvao      198.52  198.52  198.52  198.52  198.52                                                                                                                                                     
   94 SANTANA LM   Diesel      898.56  898.56  898.56  898.56  898.56                                                                                                                                                     
  208 SANTANA W    Diesel      640.96  640.96  640.96  640.96  640.96                                                                                                                                                     
  136 SUZANO MA    Residuos I    0.00    0.00    0.00    0.00    0.00                                                                                                                                                     
  209 TAMBAQUI     Gas           0.00    0.00    0.00    0.00    0.00                                                                                                                                                     
 9999
 NUM     CUSTO
 XXXX   XXXX.XX  XX XXXX  XX XXXX
  211    128.12   8 2018   9 2018  BAIXADA FLU 
  220    399.08   8 2018   9 2018  CCBS_L13    
  214    397.58   8 2018   9 2018  EBOLT_L13   
   15    217.77   8 2018  11 2018  LINHARES    
   86    144.77   8 2018  11 2018  ST.CRUZ NOVA
  218    398.70   8 2018   9 2018  T LAGOAS_L13
  216    397.95   8 2018   9 2018  TERMORIO_L13
   49    668.69   8 2018   9 2018  VIANA       
  149     78.76   8 2018   9 2018  SAO SEPE    
   52    668.70   8 2018   9 2018  CAMPINA GDE 
   53    758.33   8 2018   9 2018  GLOBAL I    
   55    758.33   8 2018   9 2018  GLOBAL II   
   57    647.73   8 2018   9 2018  MARACANAU I 
  167    211.41   8 2018   9 2018  P. PECEM I  
  163    218.15   8 2018   9 2018  P. PECEM II 
   98    572.16   8 2018   9 2018  PERNAMBU_III
  170    677.21   8 2018   9 2018  SUAPE II    
  152    660.61   8 2018   9 2018  TERMOCABO   
   67    664.91   8 2018   9 2018  TERMONE     
   69    664.91   8 2018   9 2018  TERMOPB     
   73    668.68   8 2018   9 2018  GERAMAR I   
   70    668.68   8 2018   9 2018  GERAMAR II  
   36    134.38   8 2018   9 2018  MARANHAO IV 
   21    134.38   8 2018   9 2018  MARANHAO V  
  140     98.25   8 2018  12 2018  MAUA 3      
  176    212.73   8 2018   9 2018  PORTO ITAQUI
