 NUM  NOME         POSTO JUS   REE V.INIC U.EXIS MODIF INIC.HIST FIM HIST
 XXXX XXXXXXXXXXXX XXXX  XXXX XXXX XXX.XX XXXX   XXXX     XXXX     XXXX
   52 CANOAS I       52    61   12   0.00   EX      0     1931     2016
   61 CAPIVARA       61    62   12  63.61   EX      1     1931     2016
   62 TAQUARUCU      62    63   12   0.00   EX      0     1931     2016
   63 ROSANA         63    66   12   0.00   EX      0     1931     2016
   54 STA BRANCA T   54    57   11   0.00   NE      0     1931     2016
   57 MAUA           57     0   11  31.90   EX      1     1931     2016
   71 STA CLARA PR   71    72   11  69.10   EX      0     1931     2016
   72 FUNDAO         72    73   11   0.00   EX      0     1931     2016
   74 G.B. MUNHOZ    74    76   11  35.30   EX      0     1931     2016
   83 BAIXO IGUACU   81     0   11   0.00   NE      1     1931     2016
   86 BARRA GRANDE  215    91    2  63.56   EX      1     1931     2016
   89 GARIBALDI      89    90    2  85.53   EX      1     1931     2016
   90 CAMPOS NOVOS  216    91    2  18.63   EX      0     1931     2016
   91 MACHADINHO    217    92    2  71.83   EX      1     1931     2016
   92 ITA            92   103    2   0.00   EX      1     1931     2016
   93 PASSO FUNDO    93    94    2  45.92   EX      0     1931     2016
   94 MONJOLINHO    220   103    2   0.00   EX      0     1931     2016
   95 QUEBRA QUEIX  286     0    2  80.00   EX      1     1931     2016
  101 SAO JOSE      102   102    2   0.00   EX      1     1931     2016
  102 PASSO S JOAO  103     0    2   0.00   EX      1     1931     2016
  103 FOZ CHAPECO    94     0    2   0.00   EX      0     1931     2016
   97 CASTRO ALVES   98    98    2   0.00   EX      0     1931     2016
   98 MONTE CLARO    97    99    2   0.00   EX      0     1931     2016
   99 14 DE JULHO   284     0    2   0.00   EX      0     1931     2016
  110 ERNESTINA     110   111    2 100.00   EX      0     1931     2016
  111 PASSO REAL    111   112    2  82.25   EX      1     1931     2016
  112 JACUI         112   113    2   0.00   EX      0     1931     2016
  113 ITAUBA        113   114    2   0.00   EX      0     1931     2016
  114 D. FRANCISCA  114     0    2   0.00   EX      1     1931     2016
  115 G.P. SOUZA    115     0    2  41.30   EX      0     1931     2016
  215 SALTO PILAO   101     0    2   0.00   EX      0     1931     2016
   73 JORDAO         70    77   11 100.00   EX      1     1931     2016
   76 SEGREDO        75    77   11  35.60   EX      0     1931     2016
   77 SLT.SANTIAGO   77    78   11  37.78   EX      1     1931     2016
   78 SALTO OSORIO   78    82   11   0.00   EX      1     1931     2016
   82 SALTO CAXIAS  222    83   11   0.00   EX      1     1931     2016
  169 SOBRADINHO    169   172    3  31.81   EX      1     1931     2016
  172 ITAPARICA     172   176    3  22.32   EX      1     1931     2016
  176 COMP PAF-MOX  176   178    3   0.00   EX      1     1931     2016
  178 XINGO         178     0    3   0.00   EX      1     1931     2016
  294 FICT.QUEIMAD  158   169    3  76.33   EX      1     1931     2016
  295 FICT.TRES MA  156   169    3  43.31   EX      1     1931     2016
  308 FICT.RETIRO   155   295    3   0.00   EX      1     1931     2016
  154 ITAPEBI       188     0    3   0.00   EX      1     1931     2016
  298 FICT.IRAPE    255   154    3  35.74   EX      1     1931     2016
  189 P. CAVALO     254     0    3  95.84   EX      1     1931     2016
  190 B. ESPERANCA  190     0    3  90.79   EX      1     1931     2016
  204 CACH.CALDEIR  204   280    9   0.00   EX      0     1931     2016
  267 ESTREITO TOC  271   275    4   0.00   EX      1     1931     2016
  275 TUCURUI       275     0    4  94.84   EX      1     1931     2016
  277 BALBINA       269     0    9  58.09   EX      1     1931     2016
  280 COARACY NUNE  280   284    9   0.00   EX      0     1931     2016
  284 FERREIRA GOM  297     0    9   0.00   EX      0     1931     2016
  286 STO ANT JARI  290     0    9   0.00   EX      0     1931     2016
  291 FICT.SERRA M  270   292    4  37.49   EX      1     1931     2016
  292 FICT.CANA BR  191   306    4   0.00   EX      1     1931     2016
  302 FICT.LAJEADO  273   267    4   0.00   EX      1     1931     2016
  303 FICT.PEIXE A  257   302    4  61.10   EX      1     1931     2016
  306 FICT.SAO SAL  253   303    4   0.00   EX      1     1931     2016
  314 PIMENTAL      302     0    8   0.00   EX      0     1931     2016
  272 CURUA-UNA     277     0    8 100.00   EX      1     1931     2016
  288 BELO MONTE    292     0    8   0.00   EE      1     1931     2016
